Week,Day,Date,Day Name,Time,Home Team,Away Team,Home Score,Away Score,Status,Game ID,ID,Player,PTS,MP,PS,R,A,B,S
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1627750,Jamal Murray,43,31,30,2,4,0,1
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,203501,Tim Hardaway Jr.,19,21,14,3,1,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1628971,Bruce Brown,12,20,7,1,2,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1642461,Spencer Jones,13,20,0,3,2,0,2
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,202685,Jonas Valan?i?nas,23,12,12,5,3,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1626145,Tyus Jones,6,8,2,0,2,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1631124,Julian Strawther,7,7,6,1,0,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1630192,Zeke Nnaji,5,6,1,1,0,0,1
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1629618,Jalen Pickett,3,6,3,0,0,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1631223,David Roddy,8,6,2,4,1,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1631095,Jabari Smith Jr.,25,28,11,7,2,0,1
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,201142,Kevin Durant,25,26,11,4,5,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1630578,Alperen Sengun,27,24,10,2,3,3,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1631106,Tari Eason,23,22,8,8,2,0,1
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1641708,Amen Thompson,32,30,16,5,4,0,1
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1642263,Reed Sheppard,24,27,9,2,2,1,2
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1629006,Josh Okogie,28,24,12,4,3,1,1
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,203991,Clint Capela,22,24,9,7,0,1,1
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1628988,Aaron Holiday,9,16,2,1,3,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,1642384,Isaiah Crawford,10,12,5,3,1,0,0
21,3,12/03/2026,Thursday,02:00,DEN,HOU,129,93,Final,22500950,201145,Jeff Green,1,7,0,1,0,0,0
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,201942,DeMar DeRozan,64,41,39,4,6,1,2
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1630173,Precious Achiuwa,32,29,14,8,2,1,1
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1642875,Maxime Raynaud,23,25,4,6,2,3,0
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1642363,Nique Clifford,47,41,18,4,8,1,2
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1630165,Killian Hayes,21,31,11,2,4,0,0
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,203926,Doug McDermott,7,28,6,1,0,0,0
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1631342,Daeqwon Plowden,20,30,13,4,0,0,1
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1629234,Drew Eubanks,14,15,4,6,2,0,0
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1642851,Kon Knueppel,37,34,24,7,3,0,0
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1628970,Miles Bridges,41,31,26,2,5,0,1
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1631217,Moussa Diabaté,19,34,2,10,2,0,1
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1641706,Brandon Miller,39,33,20,3,5,0,2
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1630163,LaMelo Ball,49,31,30,6,5,0,1
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1630182,Josh Green,9,11,0,1,1,0,2
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1629632,Coby White,16,20,9,2,1,1,0
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1642883,Sion James,18,24,4,3,4,0,1
21,3,12/03/2026,Thursday,02:00,SAC,CHA,109,117,Final,22500951,1630214,Xavier Tillman,14,14,2,6,3,0,0
